nr_pokolenia najlepszy_fitness sredni_fitness najgorszy_fitness
1 4,85 4,20 3,82
2 5,74 4,58 3,94
3 5,97 5,04 4,01
4 6,39 5,68 5,34
5 6,62 5,83 5,16
6 6,69 5,98 5,20
7 6,91 6,17 5,36
8 7,63 6,62 5,22
9 7,63 6,85 5,77
10 7,48 6,53 5,64
11 7,40 6,31 5,72
12 7,71 6,79 6,32
13 7,97 7,50 7,07
14 8,24 7,39 6,54
15 8,35 7,55 6,49
16 8,36 7,64 6,31
17 8,53 7,31 6,46
18 8,53 7,74 6,94
19 8,94 8,23 7,64
20 9,14 8,04 6,54
21 9,23 8,30 7,04
22 9,07 8,23 6,91
23 9,37 8,54 7,72
24 9,39 8,33 6,86
25 9,52 7,85 6,02
26 9,82 8,21 7,00
27 9,59 8,30 7,56
28 9,73 8,09 6,75
29 9,84 7,90 6,57
30 9,58 8,30 7,25
31 9,72 8,36 6,21
32 9,66 7,17 6,22
33 9,81 8,46 6,71
34 9,82 8,87 7,80
35 10,29 9,00 7,17
36 10,42 9,13 7,37
37 10,74 8,98 6,61
38 10,82 10,14 9,39
39 10,89 9,37 8,04
40 10,87 9,03 8,45
41 11,00 9,20 8,46
42 11,18 9,60 7,34
43 11,21 9,98 8,42
44 11,41 10,44 8,63
45 11,35 9,89 8,41
46 11,39 9,52 7,13
47 11,53 9,22 7,25
48 11,53 9,71 8,94
49 11,58 9,55 8,19
50 11,84 10,01 9,22
51 11,99 10,06 8,98
52 12,01 10,18 9,08
53 12,07 10,38 9,18
54 12,19 10,32 8,89
55 12,37 9,90 7,68
56 12,45 9,23 7,67
57 12,26 9,55 7,69
58 12,33 8,97 7,07
59 12,38 8,79 7,23
60 11,56 8,99 7,03
61 11,63 9,01 7,28
62 11,36 9,35 7,45
63 11,39 9,73 8,38
64 12,19 10,35 8,35
65 12,45 10,79 9,33
66 12,36 11,29 8,79
67 12,40 11,59 10,05
68 12,52 11,71 10,49
69 12,63 11,61 9,47
70 12,64 11,80 10,98
71 12,74 11,28 9,39
72 12,80 10,97 9,27
73 12,71 10,98 8,47
74 12,66 10,42 8,97
75 13,22 11,24 10,14
76 13,42 11,11 9,87
77 13,60 11,33 9,81
78 13,60 11,80 10,53
79 13,60 11,99 10,21
80 13,70 11,83 9,33
81 13,72 11,03 8,11
82 13,72 11,51 8,36
83 13,72 12,20 9,97
84 13,70 10,77 8,83
85 13,80 11,99 9,80
86 13,26 10,46 8,27
87 13,26 9,87 8,43
88 13,07 9,98 8,11
89 13,18 9,59 7,74
90 13,29 10,77 7,77
91 13,49 11,67 10,36
92 13,26 11,64 10,02
93 13,57 12,38 11,37
94 13,47 12,51 11,37
95 13,50 11,66 9,88
96 13,60 11,25 9,76
97 13,63 11,09 9,99
98 13,73 12,25 9,89
99 13,75 11,06 9,27
100 13,75 12,33 9,79
101 13,75 11,87 7,65
102 13,75 12,22 9,88
103 13,75 12,28 9,63
104 13,75 12,59 10,93
105 13,75 11,10 9,06
106 13,75 9,68 7,80
107 13,63 10,29 8,46
108 13,70 11,19 9,11
109 13,79 10,59 9,69
110 13,79 10,51 9,48
111 13,79 11,38 9,59
112 13,79 12,38 10,15
113 13,79 11,33 8,80
114 13,79 11,63 9,66
115 13,79 12,05 10,01
116 13,79 10,75 8,11
117 13,59 10,01 7,79
118 13,70 10,07 6,66
119 13,79 10,33 6,63
120 13,79 10,94 8,71
121 13,79 10,71 8,72
122 13,79 10,54 7,69
123 13,79 10,38 7,86
124 13,79 11,15 9,92
125 13,73 10,17 8,01
126 13,74 11,09 9,12
127 13,74 11,01 8,89
128 13,24 10,93 8,33
129 13,44 10,93 8,06
130 13,74 11,74 10,85
131 12,75 11,49 9,83
132 13,22 11,51 9,41
133 13,15 11,39 9,91
134 13,27 10,82 8,77
135 13,38 10,53 9,15
136 13,46 10,36 8,82
137 13,53 10,61 7,72
138 13,53 11,44 7,52
139 13,53 12,48 11,32
140 13,53 11,33 9,47
141 13,53 10,42 9,10
142 13,53 12,01 9,18
143 13,53 12,86 11,70
144 13,53 12,18 9,74
145 13,53 12,86 11,74
146 13,53 12,97 11,79
147 13,53 12,61 9,79
148 13,53 10,96 7,82
149 13,53 10,14 7,12
150 13,53 10,40 8,61
151 13,53 11,22 9,16
152 13,53 10,80 9,48
153 13,53 11,80 9,69
154 13,53 11,79 8,81
155 13,53 12,42 11,21
156 13,53 11,76 9,43
157 13,53 10,98 8,51
158 13,35 11,73 8,76
159 13,45 10,61 8,34
160 13,45 10,25 8,69
161 13,45 9,64 7,61
162 13,51 9,79 6,95
163 13,60 9,85 7,37
164 13,65 10,79 7,60
165 13,65 11,94 10,62
166 13,65 12,63 10,27
167 13,65 12,54 10,26
168 13,65 12,38 11,02
169 13,65 11,72 10,41
170 13,65 12,13 10,56
171 13,65 11,57 10,33
172 13,55 11,92 9,92
173 13,55 11,60 8,42
174 13,64 10,93 8,35
175 13,32 10,66 8,29
176 13,60 10,80 6,81
177 13,60 12,75 11,61
178 13,65 11,53 9,04
179 13,65 11,97 9,74
180 13,65 12,17 10,68
181 13,65 12,20 10,44
182 13,65 12,17 10,57
183 13,65 11,96 10,62
184 13,65 10,61 7,65
185 13,65 9,93 7,74
186 13,65 11,09 7,79
187 13,53 10,88 7,51
188 13,65 11,42 7,61
189 13,65 11,35 8,24
190 13,65 11,39 8,39
191 13,65 9,78 7,30
192 13,65 8,83 6,86
193 13,65 8,98 6,91
194 13,65 8,96 6,24
195 13,65 11,58 6,60
196 13,65 11,24 7,33
197 13,65 12,93 10,17
198 13,65 11,76 10,07
199 13,65 12,48 10,07
200 13,65 12,96 10,84
201 13,65 11,44 8,92
202 13,65 10,78 7,59
203 13,60 10,91 7,46
204 13,42 10,52 7,91
